Model,SSIM_mean,SSIM_std,PSNR_mean,PSNR_std,UIQM_mean,UIQM_std
IFM,0.16823697805075682,0.13174524071123658,10.928801267437889,3.537257078407077,2.35041855710147,0.4477580860605932
UCM,0.6973103016016176,0.197297029650682,19.65805641124515,5.4136774988189185,2.7417603639320047,0.4503299949558339
GanEnhanced,0.2280980654324359,0.12977502048167938,13.825669143837297,2.38604777701707,2.8095678294297937,0.5167979461151301
SRDRM,0.6797701344228526,0.18790739722448382,23.292498697409435,4.905658979364404,2.8371078414911115,0.5485889470975952
